Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Идентификатор_родителя
72958748;Уход за кожей лица;Догляд за шкірою обличчя;;136052440;
72958753;Средства для мытья и ухода за волосами;Засоби для миття й догляду за волоссям;;136052440;
72958754;Наборы косметики;Набори косметики;;136052440;
72958756;Средства по уходу за телом;Засоби з догляду за тілом;;136052440;
75756682;Аминокислоты;Амінокислоти;;136052686;
75756786;Предтренировочные комплексы;Передтренувальні комплекси;;136052686;
75757867;Креатин;Креатин;;136052686;
75771810;Протеин;Протеїн;;136052686;
75773278;Гейнеры;Гейнери;;136052686;
79059000;Сывороточный протеин;Сироватковий протеїн;;75771810;
79059054;Изолят протеина;Ізолят протеїну;;75771810;
79059212;Соевый протеин;Соєвий протеїн;;75771810;
79060849;Растительный протеин;Рослинний протеїн;;75771810;
79060915;Гороховый;Гороховий;;75771810;
79060920;Мицеллярный казеин;Міцелярний казеїн;;75771810;
79061769;Аргинин;Аргінін;;75756682;
79061800;Глютамин;Глютамін;;75756682;
79061802;Аминокислотные комплексы;Амінокислотні комплекси;;75756682;
79064198;Специализированные аминокислоты;Спеціалізовані амінокислоти;;75756682;
79065884;ВСАА;ВСАА;;136052686;
79065968;Витамины и минералы для спорта;Вітаміни та мінерали для спорту;;136052686;
81100566;Минералы для спорта;Мінерали для спорту;;79065968;
81104542;Глюкозамин;Глюкозамін;;81301367;
81104551;Метилсульфонилметан (MSM);Метилсульфонілметан (MSM);;81301367;
81105703;Жиросжигатели;Жироспалювачі;;136052686;
81105743;L-карнитин;L-карнітин;;81105703;
81105809;CLA;CLA;;81105703;
81105810;Комплексные жиросжигатели;Комплексні жироспалювачі;;81105703;
81148319;Протеиновые батончики;Протеїнові батончики;;81148530;
81148480;Трибулус;Трибулус;;136052690;
81148518;Тестостероновые бустеры;Тестостеронові бустери;;136052690;
81148522;ZMA;ZMA;;136052690;
81148523;Препараты для восстановления;Препарати для відновлення після тренування;;136052686;
81148525;Мелатонин;Мелатонін;;136262458;81304333
81148526;ГАМК (GABA);ГАМК (GABA);;81304217;
81148528;Триптофан;Триптофан;;81148523;
81148530;Заменители питания;Замінники харчування;;136052686;
81148962;Мультивитамины без железа;Мультивітаміни без заліза;;136262364;81148946
81148963;Мультивитамины и минералы;Мультивітаміни та мінерали;;136262364;81148946
81148965;Жевательные мультивитамины;Жувальні мультивітаміни;;136262364;81148946
81148969;Alive витамины;Alive вітаміни;;136262364;81148946
81148976;Витамины для детей;Вітаміни для дітей;;136052057;
81148978;Витамины для грудничков;Вітаміни для немовлят;;81148976;
81149001;Витамины для подростков;Вітаміни для підлітків;;81148976;
81149041;Спортивные витамины для мужчин;Спортивні вітаміни для чоловіків;;136262371;81149040
81149094;Витамины для мужчин после 40;Вітаміни для чоловіків після 40;;136262371;81149040
81149096;Витамины для потенции;Вітаміни для потенції;;136262371;81149040
81149097;Витамины при простатите;Вітаміни під час простати;;136262371;81149040
81149443;Витаминные комплексы для мужчин;Вітамінні комплекси для чоловіків;;136262371;81149040
81149480;Витамины для женщин;Вітаміни для жінок;;136052057;
81149489;Витамины для женщин после 30;Вітаміни для жінок після 30;;81149480;
81149493;Витамины для женщин после 50;Вітаміни для жінок після 50;;81149480;
81149531;Витамины для женщин после 40;Вітаміни для жінок після 40;;81149480;
81149534;Комплекс витаминов для женщин;Комплекс вітамінів для жінок;;81149480;
81149539;Витамины для беременных и кормящих;Вітаміни для вагітних і жінок, які годують груддю;;81149480;
81149642;Витамины для вегетарианцев;Вітаміни для вегетаріанців;;136262371;81149040
81149986;Витамины для энергии;Вітаміни для енергії;;136052057;
81149989;Витамины А;Вітаміни А;;136052057;
81149997;Витамин А ретинол;Вітамін А ретинол;;81149989;
81150101;Витамин В1 (Тиамин);Вітамін В1 (Тіамін);;136277486;81150100
81150106;Витамин В2 (Рибофлавин);Вітамін В2 (Рибофлавін);;136277486;81150100
81150108;Витамин В3;Вітамін В3;;136277486;81150100
81150111;Холин (Витамин В4);Холін (Вітамін В4);;136277486;81150100
81150112;Витамин В5 (Пантотеновая кислота);Вітамін В5 (Пантотенова кислота);;136277486;81150100
81150115;Витамин В6 (Пиридоксин);Вітамін В6 (Піридоксин);;136277486;81150100
81150117;Фолиевая кислота (витамин B9);Фолієва кислота (вітамін В9);;136277486;81150100
81150120;Витамин В12;Вітамін В12;;136277486;81150100
81150122;Коэнзимный витамин В;Коензимний вітамін В;;136277486;81150100
81150124;Комплекс витаминов группы В;Комплекс вітамінів групи B;;136277486;81150100
81150201;Витамины D;Вітаміни D;;136052057;
81150472;Витамин D для взрослых;Вітамін D для дорослих;;81150201;
81150473;Масляный витамин D;Масляний вітамін D;;81150201;
81150476;Кальций и витамин D;Кальцій і вітамін D;;81150201;
81150477;Витамин D3 + К2;Вітамін D3 + К2;;81150201;
81150479;Витамин E;Вітамін E;;136052057;
81150481;Токоферол;Токоферол;;81150479;
81150489;Витамин K;Вітамін K;;136052057;
81160304;Бор;Препарати бору;;136052057;
