Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Ссылка_изображения_группы
72958748;Уход за кожей лица;Догляд за шкірою обличчя;;136052440;https://images.prom.ua/2134598536_uhod-za-kozhej.jpg
72958753;Средства для мытья и ухода за волосами;Засоби для миття й догляду за волоссям;;136052440;https://images.prom.ua/2134607529_sredstva-dlya-mytya.jpg
72958754;Наборы косметики;Набори косметики;;136052440;https://images.prom.ua/2134816902_nabory-kosmetiki.jpg
72958756;Средства по уходу за телом;Засоби з догляду за тілом;;136052440;https://images.prom.ua/2134640114_sredstva-po-uhodu.jpg
75756600;Аксессуары для спорта;Аксесуари для спорту;;136052686;https://images.prom.ua/2136120997_aksessuary-dlya-sporta.jpg
75756682;Аминокислоты;Амінокислоти;;136052686;https://images.prom.ua/2136024862_aminokisloty.jpg
75756786;Предтренировочные комплексы;Передтренувальні комплекси;;136052686;https://images.prom.ua/2136149512_predtrenirovochnye-kompleksy.jpg
75757867;Креатин;Креатин;;136052686;https://images.prom.ua/2136023121_kreatin.jpg
75771810;Протеин;Протеїн;;136052686;https://images.prom.ua/2136026578_protein.jpg
75773278;Гейнеры;Гейнери;;136052686;https://images.prom.ua/2136020338_gejnery.jpg
79059000;Сывороточный протеин;Сироватковий протеїн;;75771810;https://images.prom.ua/3229379173_syvorotochnyj-protein.jpg
79059054;Изолят протеина;Ізолят протеїну;;75771810;https://images.prom.ua/6061705385_izolyat-proteina.jpg
79059212;Соевый протеин;Соєвий протеїн;;75771810;https://images.prom.ua/3229383167_soevyj-protein.jpg
79060849;Растительный протеин;Рослинний протеїн;;75771810;https://images.prom.ua/3229388690_rastitelnyj-protein.jpg
79060915;Гороховый;Гороховий;;75771810;https://images.prom.ua/6167713042_gorohovyj.jpg
79060920;Мицеллярный казеин;Міцелярний казеїн;;75771810;https://images.prom.ua/3229402711_mitsellyarnyj-kazein.jpg
79061769;Аргинин;Аргінін;;75756682;https://images.prom.ua/3229461178_arginin.jpg
79061800;Глютамин;Глютамін;;75756682;https://images.prom.ua/3229458424_glyutamin.jpg
