Номер_групи;Назва_групи;Назва_групи_укр;Ідентифікатор_групи;Номер_батьківської_групи;Ідентифікатор_батьківської_групи;HTML_заголовок_групи;HTML_заголовок_групи_укр;HTML_опис_групи;HTML_опис_групи_укр;Опис_групи_до_списку_товарних_позицій;Опис_групи_до_списку_товарних_позицій_укр;Опис_групи_після_списку_товарних_позицій;Опис_групи_після_списку_товарних_позицій_укр;Посилання_зображення_групи
72958748;Уход за кожей лица;Догляд за шкірою обличчя;72958748;136052440;136052440;;;;;"<p style=""text-align:center"">Уход за собой имеет важное значение, при этом особенно большое внимание уделяется уходу за лицом. </p>
<p style=""text-align:center"">Кожу лица важно хорошо очищать, увлажнять, тонизировать, а значит важно правильно подобрать необходимые косметические средства для этого. </p>
<p style=""text-align:center"">Органическая косметика для лица &mdash; лучший выбор современных людей! </p>";"<p style=""text-align:center"">Догляд за собою має важливе значення при цьому особливо велика увага приділяється догляду за обличчям. </p>
<p style=""text-align:center"">Шкіру обличчя важливо очищати, зволожувати, тонізувати, а значить важливо правильно підібрати необхідні косметичні засоби для цього. </p>
<p style=""text-align:center"">Органічна косметика для особи — кращий вибір сучасних людей! </p>";;;https://images.prom.ua/2134598536_uhod-za-kozhej.jpg
72958753;Средства для мытья и ухода за волосами;Засоби для миття й догляду за волоссям;72958753;136052440;136052440;;;;;"<p style=""text-align:center"">Красивые и здоровые волосы во все времена были одним из главных украшений каждого человека. </p>
<p style=""text-align:center"">Если Вы предпочитаете самостоятельный уход за своей внешностью в домашних условиях, в нашем каталоге представлены лучшие органические средства для ухода. </p>
<p style=""text-align:center"">С их помощью можно восстановить и улучшить состояние локонов и обеспечить им здоровый вид.</p>";"<p style=""text-align:center"">Гарне та здорове волосся в усі часи було одним із головних прикрас кожної людини. </p>
<p style=""text-align:center"">Якщо Ви волієте самостійний догляд за своєю зовнішністю в домашніх умовах, у нашому каталозі представлені найкращі органічні засоби для догляду. </p>
<p style=""text-align:center"">З їхньою допомогою можна відновити та поліпшити стан локонів і забезпечити їм здоровий вигляд.</p>";;;https://images.prom.ua/2134607529_sredstva-dlya-mytya.jpg
72958754;Наборы косметики;Набори косметики;72958754;136052440;136052440;;;;;"<p style=""text-align:center"">Наборы органической косметики - это не только то, что вы можете подарить кому-нибудь, но и то чем вы можете побаловать себя. </p>
<p style=""text-align:center"">Это не только красивая упаковка, но и удачные сочетания продуктов по привлекательным ценам.</p>
<br/>
&nbsp;";"<p style=""text-align:center"">Набори органічної косметики — це не тільки те, що ви можете подарувати комусь, а й те, чим ви можете побалувати себе. </p>
<p style=""text-align:center"">Це не тільки красиве паковання, а й вдале поєднання продуктів за привабливими цінами.</p>
<br/>
&nbsp;";;;https://images.prom.ua/2134816902_nabory-kosmetiki.jpg
72958756;Средства по уходу за телом;Засоби з догляду за тілом;72958756;136052440;136052440;;;;;;;;;https://images.prom.ua/2134640114_sredstva-po-uhodu.jpg
75756682;Аминокислоты;Амінокислоти;75756682;136052686;136052686;;;;;;;;;https://images.prom.ua/2136024862_aminokisloty.jpg
75756786;Предтренировочные комплексы;Передтренувальні комплекси;75756786;136052686;136052686;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Предтренировочный комплекс, или пре-воркаут, является продуктом, который призван подготовить ваш организм к физической нагрузке и улучшить результаты тренировки. Он обычно содержит компоненты, такие как креатин, аминокислоты, кофеин и другие вещества, которые способствуют повышению выносливости, энергии, силы и ускоряют восстановление мышц после тренировки. Цели приема предтренировочного комплекса могут быть различными - увеличение мышечной массы, сжигание жира, улучшение спортивных результатов или просто повышение эффективности тренировки.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Передтренувальний комплекс, або пре-воркаут, є продуктом, який покликаний підготувати ваш організм до фізичного навантаження та покращити результати тренування. Він зазвичай містить компоненти, такі як креатин, амінокислоти, кофеїн та інші речовини, які сприяють підвищенню витривалості, енергії, сили та прискорюють відновлення м&#39;язів після тренування. Цілі прийому передтренувального комплексу можуть бути різними &ndash; збільшення м&#39;язової маси, спалювання жиру, покращення спортивних результатів або просто підвищення ефективності тренування.</span></p>";;;https://images.prom.ua/2136149512_predtrenirovochnye-kompleksy.jpg
75757867;Креатин;Креатин;75757867;136052686;136052686;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Креатин - это органическое вещество, которое присутствует в нашем организме и отвечает за энергетические процессы в мышцах. Он часто принимается в виде пищевой добавки спортсменами и активными людьми для увеличения силы, выносливости и массы мышц. Креатин способствует быстрому восстановлению энергии после интенсивных тренировок, увеличивает производительность и способствует росту мышц. Также он может быть полезен при недостатке креатина в организме, например, у вегетарианцев, у которых потребление мяса ограничено.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Креатин - це органічна речовина, яка присутня в нашому організмі та відповідає за енергетичні процеси у м&#39;язах. Він часто приймається у вигляді харчової добавки спортсменами та активними людьми для збільшення сили, витривалості та маси м&#39;язів. Креатин сприяє швидкому відновленню енергії після інтенсивних тренувань, збільшує продуктивність та сприяє зростанню м&#39;язів. Також він може бути корисним при нестачі креатину в організмі, наприклад у вегетаріанців, у яких споживання м&#39;яса обмежене.</span></p>";;;https://images.prom.ua/2136023121_kreatin.jpg
75771810;Протеин;Протеїн;75771810;136052686;136052686;;;;;;;;;https://images.prom.ua/2136026578_protein.jpg
75773278;Гейнеры;Гейнери;75773278;136052686;136052686;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Гейнер - это специальная добавка в виде порошка, которая состоит из углеводов, белков и иногда жиров. Ее принимают для увеличения мышечной массы, улучшения восстановления после тренировок и увеличения выносливости. Отличие гейнера от других протеинов заключается в его более высоком содержании углеводов, что способствует быстрому восполнению энергии и росту мышц. Гейнеры обычно содержат более 20% белка и до 80% углеводов, что делает их идеальным выбором для спортсменов, которым нужен быстрый и эффективный способ набора мышечной массы. Однако стоит помнить, что углеводы в гейнерах могут быть нежелательными для тех, кто стремится снизить уровень жира в организме.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Гейнер - це спеціальна добавка у вигляді порошку, що складається з вуглеводів, білків та іноді жирів. Її приймають для збільшення м&#39;язової маси, поліпшення відновлення після тренувань та збільшення витривалості. Відмінність гейнера від інших протеїнів полягає у його вищому вмісті вуглеводів, що сприяє швидкому поповненню енергії та зростанню м&#39;язів. Гейнери зазвичай містять понад 20% білка і до 80% вуглеводів, що робить їх ідеальним вибором для спортсменів, яким потрібний швидкий та ефективний спосіб набору м&#39;язової маси. Однак варто пам&#39;ятати, що вуглеводи в гейнерах можуть бути небажаними для тих, хто прагне зменшити рівень жиру в організмі.</span></p>";;;https://images.prom.ua/2136020338_gejnery.jpg
79059000;Сывороточный протеин;Сироватковий протеїн;79059000;75771810;75771810;;;;;"<p style=""text-align:center""><span style=""font-size:16px"">Сывороточный протеин - это белок, который получают из сыворотки молока в процессе производства сыра. Он считается одним из самых быстроусвояемых и полезных видов протеина для спортсменов и людей, занимающихся фитнесом. Сывороточный протеин содержит все необходимые аминокислоты, которые необходимы для роста и восстановления мышц. Его принимают с целью увеличения мышечной массы, восстановления после тренировок, улучшения общего состояния организма. Он отличается от других видов протеинов своей быстрой скоростью усвоения организмом, что делает его идеальным для употребления сразу после тренировок. Благодаря своему составу, сывороточный протеин также способствует снижению аппетита и поддержанию оптимального уровня энергии. Кроме того, он обладает антиоксидантными свойствами и помогает укрепить иммунную систему.</span></p>";"<p style=""text-align:center""><span style=""font-size:16px"">Сироватковий протеїн - це білок, який одержують із сироватки молока в процесі виробництва сиру. Він вважається одним із найбільш швидкозасвоюваних та корисних видів протеїну для спортсменів та людей, які займаються фітнесом. Сироватковий протеїн містить усі необхідні амінокислоти, які необхідні для зростання та відновлення м&#39;язів. Його приймають з метою збільшення м&#39;язової маси, відновлення після тренувань, покращення загального стану організму. Він відрізняється від інших видів протеїнів своєю швидкістю засвоєння організмом, що робить його ідеальним для вживання відразу після тренувань. Завдяки своєму складу, сироватковий протеїн також сприяє зниженню апетиту та підтримці оптимального рівня енергії. Крім того, він має антиоксидантні властивості і допомагає зміцнити імунну систему.</span></p>";;;https://images.prom.ua/3229379173_syvorotochnyj-protein.jpg
