Номер_группы;Название_группы
72879515;БАДы
72879517;Продукты
72879518;Косметика
72879523;Товары для дома
72958748;Уход за кожей лица
72958753;Средства для мытья и ухода за волосами
72958754;Наборы косметики
72958756;Средства по уходу за телом
75756600;Аксессуары для спорта
75756682;Аминокислоты
75756786;Предтренировочные комплексы
75757867;Креатин
75771810;Протеин
75773278;Гейнеры
79059000;Сывороточный протеин
79059054;Изолят протеина
79059212;Соевый протеин
79060849;Растительный протеин
79060915;Гороховый
79060920;Мицеллярный казеин
79061769;Аргинин
79061800;Глютамин
79061802;Аминокислотные комплексы
79064198;Специализированные аминокислоты
79065884;ВСАА
79065968;Витамины и минералы для спорта
81100566;Минералы для спорта
81104542;Глюкозамин
81104551;Метилсульфонилметан (MSM)
81104577;Хондропротекторы
81105703;Жиросжигатели
81105743;L-карнитин
81105809;CLA
81105810;Комплексные жиросжигатели
81148319;Протеиновые батончики
81148320;Повышение тестостерона
81148480;Трибулус
81148518;Тестостероновые бустеры
81148522;ZMA
81148523;Препараты для восстановления
81148525;Мелатонин
81148526;ГАМК (GABA)
81148528;Триптофан
81148530;Заменители питания
81148946;Мультивитамины
81148962;Мультивитамины без железа
81148963;Мультивитамины и минералы
81148965;Жевательные мультивитамины
81148969;Alive витамины
81148976;Витамины для детей
81148978;Витамины для грудничков
81148979;Витамины для малышей
81149001;Витамины для подростков
81149002;Леденцы
81149040;Витамины для мужчин
81149041;Спортивные витамины для мужчин
81149094;Витамины для мужчин после 40
81149096;Витамины для потенции
81149097;Витамины при простатите
81149443;Витаминные комплексы для мужчин
81149480;Витамины для женщин
81149489;Витамины для женщин после 30
81149493;Витамины для женщин после 50
81149531;Витамины для женщин после 40
81149534;Комплекс витаминов для женщин
81149539;Витамины для беременных и кормящих
81149642;Витамины для вегетарианцев
81149986;Витамины для энергии
81149989;Витамины А
81149997;Витамин А ретинол
81150000;Витаминные комплексы A D E
81150100;Витамины В
81150101;Витамин В1 (Тиамин)
81150106;Витамин В2 (Рибофлавин)
81150108;Витамин В3
81150111;Холин (Витамин В4)
81150112;Витамин В5 (Пантотеновая кислота)
81150115;Витамин В6 (Пиридоксин)
81150117;Фолиевая кислота (витамин B9)
81150120;Витамин В12
81150122;Коэнзимный витамин В
81150124;Комплекс витаминов группы В
81150201;Витамины D
81150472;Витамин D для взрослых
81150473;Масляный витамин D
81150476;Кальций и витамин D
81150477;Витамин D3 + К2
81150479;Витамин E
81150481;Токоферол
81150489;Витамин K
81160304;Бор
81160308;Железо
81160312;Йод
81160398;Калий
81160401;Кремний
81160408;Кальций
81160413;Магний
81160414;Магний + B6
81160433;Медь
81160436;Молибден
81160440;Селен
81160449;Хром
81160451;Цинк
81160454;Комплексы микроэлементов
81301324;Гиалуроновая кислота
81301328;Коэнзим Q10 и Убихинол
81301337;Омега 3 (Рыбий жир)
81301338;Омега 3-6-9 (комплексы)
81301363;Омега для вегетарианцев
81301367;Кости и суставы
81301567;Комплексы для здоровья суставов
81301610;Комплексы для здоровья костей
81301615;Глюкозамин и Хондроитин
81301634;Акулий хрящ
81301939;Пищеварение
81302191;Комплексы для улучшения пищеварения
81302196;Бетаин HCL (Триметилглицин)
81302205;Пробиотики
81302209;Клетчатка/Пребиотики
81302214;Ферменты и энзимы
81302218;БАДы для нормализации уровня сахара
81302566;Комплексы детоксикации
81302569;Силимарин (Расторопша)
81302850;Сердце и сосуды
81302854;Комплексы поддержки здоровья сердца и сосудов
81303507;Артериальное давление
81303512;Снижение уровня холестерина
81303514;Наттокиназа
81303660;Иммунитет
81303668;Комплексы для иммунитета
81303670;Колострум
81304097;Эхинацея
81304098;Витамин С
81304101;Чеснок
81304107;Бузина
81304145;Почки и мочеполовая система
81304146;Комплексы поддержки
